YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
74 01 13 09 062 06.0 99.0 99.00 99.00 99.00 999 1014.0 -01.7 999.0 -08.9 99.0
74 01 13 12 352 06.3 99.0 99.00 99.00 99.00 999 1014.0 -01.5 999.0 -07.4 99.0
74 01 13 15 019 06.5 99.0 99.00 99.00 99.00 999 1014.0 -02.4 999.0 -04.6 99.0
74 01 13 18 069 05.0 99.0 99.00 99.00 99.00 999 1013.0 -02.4 999.0 -05.9 99.0
74 01 13 21 000 08.8 99.0 99.00 99.00 99.00 999 1013.0 -00.8 999.0 -08.1 99.0
74 01 14 00 039 07.6 99.0 99.00 99.00 99.00 999 1013.0 -01.1 999.0 -08.1 99.0
74 01 14 03 138 07.4 99.0 99.00 99.00 99.00 999 1013.0 -01.5 999.0 -06.0 99.0
74 01 14 06 110 07.0 99.0 99.00 99.00 99.00 999 1013.0 -01.3 999.0 -08.1 99.0
74 01 14 09 023 09.0 99.0 99.00 99.00 99.00 999 1013.0 -01.6 999.0 -03.7 99.0
74 01 14 12 021 09.4 99.0 99.00 99.00 99.00 999 1011.0 -01.3 999.0 -03.4 99.0
74 01 14 15 355 05.9 99.0 99.00 99.00 99.00 999 1008.0 -01.2 999.0 -01.8 99.0
74 01 14 18 004 02.9 99.0 99.00 99.00 99.00 999 1006.0 -01.2 999.0 -03.6 99.0
74 01 14 21 265 07.0 99.0 99.00 99.00 99.00 999 1005.0 -00.9 999.0 -04.7 99.0
74 01 15 00 346 05.2 99.0 99.00 99.00 99.00 999 1001.0 -00.4 999.0 -04.9 99.0
74 01 15 03 287 07.0 99.0 99.00 99.00 99.00 999 0997.0 -00.1 999.0 -06.7 99.0
74 01 15 06 167 05.5 99.0 99.00 99.00 99.00 999 0994.0  00.1 999.0 -04.8 99.0
74 01 15 09 213 07.9 99.0 99.00 99.00 99.00 999 0989.0 -00.4 999.0 -02.6 99.0
74 01 15 12 300 06.8 99.0 99.00 99.00 99.00 999 0985.0 -00.4 999.0 -03.3 99.0
74 01 15 15 289 11.4 99.0 99.00 99.00 99.00 999 0980.0 -00.2 999.0 -01.4 99.0
74 01 15 18 355 08.6 99.0 99.00 99.00 99.00 999 0977.0 -01.1 999.0 -04.1 99.0
74 01 15 21 306 12.0 99.0 99.00 99.00 99.00 999 0976.0 -01.7 999.0 -04.4 99.0
74 01 16 00 308 10.3 99.0 99.00 99.00 99.00 999 0974.0 -03.2 999.0 -06.1 99.0
74 01 16 03 020 10.1 99.0 99.00 99.00 99.00 999 0972.0 -04.2 999.0 -06.7 99.0
74 01 16 06 269 12.1 99.0 99.00 99.00 99.00 999 0969.0 -03.7 999.0 -05.2 99.0
74 01 16 09 241 08.5 99.0 99.00 99.00 99.00 999 0968.0 -03.7 999.0 -05.4 99.0
74 01 16 12 315 14.3 99.0 99.00 99.00 99.00 999 0967.0 -03.4 999.0 -04.5 99.0
74 01 16 15 225 14.1 99.0 99.00 99.00 99.00 999 0967.0 -04.1 999.0 -05.4 99.0
74 01 16 18 280 12.1 99.0 99.00 99.00 99.00 999 0966.0 -04.4 999.0 -06.9 99.0
74 01 16 21 178 08.8 99.0 99.00 99.00 99.00 999 0969.0 -04.4 999.0 -04.4 99.0
74 01 17 00 286 10.4 99.0 99.00 99.00 99.00 999 0966.0 -04.1 999.0 -07.1 99.0
74 01 17 03 152 09.0 99.0 99.00 99.00 99.00 999 0966.0 -03.6 999.0 -05.2 99.0
74 01 17 06 077 06.9 99.0 99.00 99.00 99.00 999 0968.0 -03.6 999.0 -03.6 99.0
74 01 17 09 188 07.2 99.0 99.00 99.00 99.00 999 0969.0 -02.9 999.0 -02.9 99.0
74 01 17 12 193 07.6 99.0 99.00 99.00 99.00 999 0967.0 -01.4 999.0 -04.2 99.0
74 01 17 15 207 10.9 99.0 99.00 99.00 99.00 999 0968.0 -02.0 999.0 -03.8 99.0
74 01 17 18 205 05.3 99.0 99.00 99.00 99.00 999 0969.0 -01.6 999.0 -03.2 99.0
74 01 17 21 187 05.9 99.0 99.00 99.00 99.00 999 0971.0 -01.5 999.0 -03.9 99.0
74 01 18 00 208 12.7 99.0 99.00 99.00 99.00 999 0969.0 -00.6 999.0 -02.6 99.0
74 01 18 03 260 10.4 99.0 99.00 99.00 99.00 999 0969.0 -00.3 999.0 -01.3 99.0
74 01 18 06 175 10.3 99.0 99.00 99.00 99.00 999 0971.0 -00.4 999.0 -02.1 99.0
74 01 18 09 260 13.1 99.0 99.00 99.00 99.00 999 0974.0 -01.5 999.0 -04.3 99.0
74 01 18 12 166 11.9 99.0 99.00 99.00 99.00 999 0972.0 -01.9 999.0 -05.5 99.0
74 01 18 15 256 11.8 99.0 99.00 99.00 99.00 999 0971.0 -02.1 999.0 -04.9 99.0
74 01 18 18 251 06.0 99.0 99.00 99.00 99.00 999 0968.0 -01.8 999.0 -02.5 99.0
74 01 18 21 047 04.8 99.0 99.00 99.00 99.00 999 0968.0 -01.0 999.0 -02.1 99.0
74 01 19 00 010 04.3 99.0 99.00 99.00 99.00 999 0975.0 -00.6 999.0 -06.6 99.0
74 01 19 03 320 14.3 99.0 99.00 99.00 99.00 999 0981.0 -00.8 999.0 -02.9 99.0
74 01 19 06 309 09.1 99.0 99.00 99.00 99.00 999 0985.0 -01.4 999.0 -05.4 99.0
74 01 19 09 265 09.5 99.0 99.00 99.00 99.00 999 0988.0 -01.9 999.0 -05.6 99.0
74 01 19 12 242 11.8 99.0 99.00 99.00 99.00 999 0991.0 -02.3 999.0 -02.3 99.0
74 01 19 15 159 08.5 99.0 99.00 99.00 99.00 999 0993.0 -03.6 999.0 -05.2 99.0
74 01 19 18 000 09.6 99.0 99.00 99.00 99.00 999 0995.0 -03.0 999.0 -06.6 99.0
74 01 19 21 297 11.7 99.0 99.00 99.00 99.00 999 0999.0 -02.9 999.0 -07.5 99.0
74 01 20 00 185 12.5 99.0 99.00 99.00 99.00 999 1003.0 -02.4 999.0 -02.4 99.0
74 01 20 03 207 05.4 99.0 99.00 99.00 99.00 999 1004.0 -02.8 999.0 -04.7 99.0
74 01 20 06 255 10.2 99.0 99.00 99.00 99.00 999 1003.0 -01.8 999.0 -06.4 99.0
74 01 20 09 323 09.3 99.0 99.00 99.00 99.00 999 1004.0 -01.2 999.0 -07.4 99.0
74 01 20 12 286 08.0 99.0 99.00 99.00 99.00 999 1005.0 -02.2 999.0 -02.2 99.0
74 01 20 15 272 09.3 99.0 99.00 99.00 99.00 999 1007.0 -02.1 999.0 -03.0 99.0
74 01 20 18 236 03.8 99.0 99.00 99.00 99.00 999 1008.0 -02.3 999.0 -02.3 99.0
74 01 20 21 269 02.4 99.0 99.00 99.00 99.00 999 1009.0 -01.7 999.0 -03.0 99.0
