#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 06 01 50 999 99.0 99.0  3.67 11.43  8.26 999 1006.6 999.0   4.9 999.0 99.0 99.00
2014 01 06 02 50 999 99.0 99.0  3.76 11.43  8.31 999 1006.7 999.0   4.9 999.0 99.0 99.00
2014 01 06 03 50 999 99.0 99.0  3.76 11.43  8.16 999 1006.8 999.0   4.9 999.0 99.0 99.00
2014 01 06 04 50 999 99.0 99.0  3.80 11.43  7.92 999 1007.2 999.0   4.9 999.0 99.0 99.00
2014 01 06 05 50 999 99.0 99.0  3.72 12.12  7.73 999 1006.7 999.0   4.9 999.0 99.0 99.00
2014 01 06 06 50 999 99.0 99.0  3.96 11.43  7.74 999 1006.7 999.0   4.9 999.0 99.0 99.00
2014 01 06 08 50 999 99.0 99.0  3.31 10.81  7.04 999 1006.4 999.0   4.9 999.0 99.0 99.00
2014 01 06 09 50 999 99.0 99.0  3.34 11.43  6.74 999 1006.3 999.0   4.9 999.0 99.0 99.00
2014 01 06 10 50 999 99.0 99.0  3.70 10.81  7.26 999 1006.0 999.0   4.9 999.0 99.0 99.00
2014 01 06 11 50 999 99.0 99.0  3.49 10.81  7.00 999 1006.0 999.0   4.9 999.0 99.0 99.00
2014 01 06 12 50 999 99.0 99.0  3.42 10.81  7.18 999 1005.9 999.0   4.9 999.0 99.0 99.00
2014 01 06 13 50 999 99.0 99.0  3.16 10.81  7.30 999 1005.8 999.0   4.9 999.0 99.0 99.00
2014 01 06 14 50 999 99.0 99.0  3.62 11.43  7.77 999 1005.9 999.0   4.9 999.0 99.0 99.00
2014 01 06 15 50 999 99.0 99.0  3.21 10.81  7.57 999 1006.0 999.0   4.9 999.0 99.0 99.00
2014 01 06 16 50 999 99.0 99.0  2.90 11.43  7.24 999 1006.5 999.0   4.9 999.0 99.0 99.00
2014 01 06 17 50 999 99.0 99.0 99.00 99.00 99.00 999 1007.0 999.0   4.9 999.0 99.0 99.00
2014 01 06 18 50 999 99.0 99.0  3.22 10.81  7.58 999 1007.1 999.0   4.9 999.0 99.0 99.00
2014 01 06 19 50 999 99.0 99.0  3.12 11.43  7.41 999 1007.1 999.0   4.9 999.0 99.0 99.00
2014 01 06 20 50 999 99.0 99.0  3.41 10.81  7.79 999 1007.3 999.0   4.9 999.0 99.0 99.00
2014 01 06 21 50 999 99.0 99.0  3.19 10.81  7.68 999 1006.9 999.0   4.9 999.0 99.0 99.00
2014 01 06 22 50 999 99.0 99.0  3.19 10.81  7.67 999 1006.5 999.0   4.9 999.0 99.0 99.00
2014 01 06 23 50 999 99.0 99.0  2.65 10.81  7.07 999 1006.1 999.0   4.9 999.0 99.0 99.00
2014 01 07 00 50 999 99.0 99.0  2.74 10.81  7.21 999 1006.0 999.0   4.9 999.0 99.0 99.00
2014 01 07 01 50 999 99.0 99.0  2.78 10.81  7.57 999 1006.0 999.0   4.9 999.0 99.0 99.00
2014 01 07 02 50 999 99.0 99.0  2.81 10.81  7.50 999 1005.7 999.0   4.9 999.0 99.0 99.00
2014 01 07 03 50 999 99.0 99.0  2.75 10.81  7.71 999 1005.2 999.0   4.9 999.0 99.0 99.00
2014 01 07 04 50 999 99.0 99.0  2.67 10.00  7.68 999 1005.2 999.0   4.9 999.0 99.0 99.00
2014 01 07 05 50 999 99.0 99.0  2.82 11.43  7.81 999 1005.0 999.0   4.9 999.0 99.0 99.00
2014 01 07 06 50 999 99.0 99.0  2.96 11.43  8.11 999 1005.1 999.0   4.9 999.0 99.0 99.00
2014 01 07 07 50 999 99.0 99.0  2.85 11.43  7.86 999 1004.8 999.0   4.9 999.0 99.0 99.00
2014 01 07 08 50 999 99.0 99.0  2.62 11.43  7.28 999 1004.6 999.0   4.9 999.0 99.0 99.00
2014 01 07 09 50 999 99.0 99.0  2.43 11.43  6.58 999 1004.3 999.0   4.9 999.0 99.0 99.00
2014 01 07 10 50 999 99.0 99.0  2.42 10.81  6.54 999 1003.6 999.0   4.9 999.0 99.0 99.00
2014 01 07 11 50 999 99.0 99.0  2.51 11.43  6.26 999 1002.9 999.0   4.9 999.0 99.0 99.00
2014 01 07 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1002.2 999.0   4.9 999.0 99.0 99.00
2014 01 07 13 50 999 99.0 99.0  2.52 10.00  6.20 999 1001.5 999.0   4.9 999.0 99.0 99.00
2014 01 07 14 50 999 99.0 99.0  2.69 10.00  6.21 999 1000.6 999.0   4.9 999.0 99.0 99.00
2014 01 07 15 50 999 99.0 99.0  2.56 10.81  5.95 999 1000.0 999.0   4.9 999.0 99.0 99.00
2014 01 07 16 50 999 99.0 99.0  2.33 10.00  5.62 999  999.3 999.0   4.9 999.0 99.0 99.00
2014 01 07 17 50 999 99.0 99.0  2.64  9.09  5.83 999  999.1 999.0   4.9 999.0 99.0 99.00
2014 01 07 18 50 999 99.0 99.0  2.72 10.00  6.06 999  998.9 999.0   4.9 999.0 99.0 99.00
2014 01 07 19 50 999 99.0 99.0  2.85 10.81  6.09 999  998.4 999.0   4.9 999.0 99.0 99.00
2014 01 07 20 50 999 99.0 99.0  2.89 10.00  6.38 999  997.9 999.0   4.9 999.0 99.0 99.00
2014 01 07 21 50 999 99.0 99.0  3.13 10.81  6.80 999  996.9 999.0   4.9 999.0 99.0 99.00
2014 01 07 22 50 999 99.0 99.0 99.00 99.00 99.00 999  995.9 999.0   4.9 999.0 99.0 99.00
2014 01 07 23 50 999 99.0 99.0  3.05 12.12  6.54 999  994.4 999.0   4.9 999.0 99.0 99.00
