YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 03 22 00 185 13.1 16.1  4.02 10.00  7.07 999 1015.8   6.3   5.2 999.0 99.0 99.00
2005 01 03 23 00 185 11.7 14.5  4.16  8.33  7.16 999 1015.8   6.2   5.2 999.0 99.0 99.00
2005 01 04 00 00 186 12.2 14.5  4.03  9.09  6.97 999 1015.8   6.1   5.2 999.0 99.0 99.00
2005 01 04 01 00 182 12.0 14.5  4.12 10.00  7.13 999 1015.8   6.0   5.2 999.0 99.0 99.00
2005 01 04 02 00 177 11.8 14.2  4.38 11.11  7.35 999 1016.1   6.0   5.2 999.0 99.0 99.00
2005 01 04 03 00 178 12.4 14.9  4.02 10.00  7.23 999 1016.4   6.3   5.2 999.0 99.0 99.00
2005 01 04 04 00 183 11.9 14.5  4.49 11.11  7.87 999 1016.5   6.3   5.2 999.0 99.0 99.00
2005 01 04 05 00 180 12.8 15.9  4.41 10.00  7.57 999 1016.4   6.3   5.2 999.0 99.0 99.00
2005 01 04 06 00 180 13.1 16.1  4.41 11.11  7.65 999 1016.5   6.3   5.2 999.0 99.0 99.00
2005 01 04 07 00 186 12.9 16.1  4.52 11.11  7.53 999 1017.0   6.3   5.2 999.0 99.0 99.00
2005 01 04 08 00 188 12.6 16.8  4.45 11.11  7.52 999 1017.2   6.3   5.2 999.0 99.0 99.00
2005 01 04 09 00 188 12.0 14.5  4.96 11.11  7.82 999 1017.5   6.2   5.2 999.0 99.0 99.00
2005 01 04 10 00 190 11.6 14.6  4.63 11.11  7.79 999 1017.6   6.0   5.2 999.0 99.0 99.00
2005 01 04 11 00 190 11.6 13.9  4.20 11.11  7.49 999 1017.9   6.0   5.2 999.0 99.0 99.00
2005 01 04 12 00 190 10.8 13.1  4.20 12.50  7.54 999 1018.2   5.9   5.2 999.0 99.0 99.00
2005 01 04 13 00 190  9.8 12.5  4.16 14.29  7.61 999 1018.5   5.9   5.2 999.0 99.0 99.00
2005 01 04 14 00 184  9.4 12.1  4.06 14.29  7.82 999 1018.7   5.9   5.2 999.0 99.0 99.00
2005 01 04 15 00 186 10.1 12.0  4.04 11.11  7.65 999 1018.7   5.8   5.2 999.0 99.0 99.00
2005 01 04 16 00 183 10.4 13.0  4.43 11.11  8.00 999 1018.8   5.8   5.2 999.0 99.0 99.00
2005 01 04 17 00 191 10.5 12.7  4.11 11.11  7.67 999 1019.4   5.9   5.2 999.0 99.0 99.00
2005 01 04 18 00 192 10.3 12.8  4.03 10.00  7.55 999 1019.7   5.9   5.2 999.0 99.0 99.00
2005 01 04 19 00 193 10.1 12.5  3.98 11.11  7.30 999 1020.8   5.9   5.2 999.0 99.0 99.00
2005 01 04 20 00 192  9.8 11.7  3.61  9.09  7.20 999 1021.4   5.6   5.2 999.0 99.0 99.00
2005 01 04 21 00 194 10.4 12.4  3.74 11.11  7.41 999 1021.9   5.7   5.2 999.0 99.0 99.00
2005 01 04 22 00 196  9.7 11.7  3.70 11.11  7.45 999 1022.1   5.6   5.2 999.0 99.0 99.00
2005 01 04 23 00 200 10.4 12.8  3.78 11.11  7.30 999 1022.2   5.6   5.2 999.0 99.0 99.00
2005 01 05 00 00 211  9.7 11.4  3.75 10.00  7.41 999 1022.6   5.7   5.2 999.0 99.0 99.00
2005 01 05 01 00 216  8.1  9.8  3.82 11.11  7.68 999 1023.3   5.6   5.2 999.0 99.0 99.00
2005 01 05 02 00 211  7.4  8.8  3.43 11.11  7.38 999 1023.5   5.6   5.2 999.0 99.0 99.00
